co_low_high_FC1,co_low_FC1,co_high_FC1,co_low_FC1.5,co_high_FC1.5,co_high_low_FC1.5
Fhod1,,D930015E06Rik,,,
Gucy1a3,,Fbxo27,,,
G630030J09Rik,,Plcb3,,,
Camk2d,,Slc22a15,,,
Igf2r,,Clock,,,
Psma6,,Acpp,,,
Sez6l2,,Zfp395,,,
Ncoa3,,Rc3h1,,,
Zdhhc1,,Gmeb2,,,
Uevld,,Scrib,,,
Mrps30,,Zfp703,,,
Msmo1,,Crebbp,,,
Ryr1,,Sp6,,,
Marveld2,,Plxnd1,,,
Tjp1,,Chml,,,
Zdhhc2,,Dgkh,,,
Rps9,,Mon1a,,,
Slc16a10,,Gm14139,,,
Trio,,Magi1,,,
Nr2c2ap,,Ralgps1,,,
Alx4,,Kif3a,,,
Snx18,,Tirap,,,
Mfap3,,Iqcc,,,
Chchd3,,Zfp868,,,
Serpina9,,Xlr,,,
Ldlrad3,,,,,
Lrig1,,,,,
Fmnl2,,,,,
Hyi,,,,,
Lpgat1,,,,,
Ago4,,,,,
Dtx3,,,,,
Hmmr,,,,,
Cebpa,,,,,
M6pr,,,,,
Trpc3,,,,,
Iars2,,,,,
Spcs2,,,,,
Kif4,,,,,
Ccdc163,,,,,
Igsf9b,,,,,
Pkn3,,,,,
Neb,,,,,
Zfp236,,,,,
C230024C17Rik,,,,,
Zfp114,,,,,
Glrx,,,,,
Susd2,,,,,
Cables2,,,,,
Islr,,,,,
Zfp61,,,,,
Cebpg,,,,,
Cd80,,,,,
Mocs2,,,,,
Plekhn1,,,,,
Atp6v1b2,,,,,
Tnrc18,,,,,
Ict1,,,,,
Gm15326,,,,,
Pus1,,,,,
Ppm1g,,,,,
Gm17173,,,,,
Zan,,,,,
Haus5,,,,,
Ccdc28b,,,,,
Lsm4,,,,,
Fam32a,,,,,
Get4,,,,,
Qser1,,,,,
Ggact,,,,,
E330021D16Rik,,,,,
Prickle3,,,,,
Mast2,,,,,
Fam101a,,,,,
Ssh2,,,,,
Dhrs4,,,,,
Rell1,,,,,
Gm23251,,,,,
Smad4,,,,,
Dnaaf2,,,,,
Osbpl6,,,,,
Trak1,,,,,
Mcm2,,,,,
Pcgf2,,,,,
Gdpd3,,,,,
Vcpkmt,,,,,
Cdkn2c,,,,,
Ccdc80,,,,,
Fbf1,,,,,
Dnmbp,,,,,
Grin2d,,,,,
Hexa,,,,,
Clcf1,,,,,
Nr4a1,,,,,
Enc1,,,,,
Selt,,,,,
Ndufs2,,,,,
Cyth4,,,,,
Ppp2r3d,,,,,
Sqle,,,,,
Tesc,,,,,
Fam171b,,,,,
Cdc42bpb,,,,,
Coro2b,,,,,
Usf2,,,,,
Rnf168,,,,,
Rpl31-ps8,,,,,
Mdh1,,,,,
Nsg2,,,,,
Mroh1,,,,,
Vps37c,,,,,
Zbtb39,,,,,
Peg3,,,,,
Cd22,,,,,
Hars,,,,,
Adamts3,,,,,
Cst7,,,,,
Aplp2,,,,,
Psd3,,,,,
Zfp27,,,,,
Tnks1bp1,,,,,
Cox7c,,,,,
Ptk2,,,,,
Wipf3,,,,,
Timm23,,,,,
Vps53,,,,,
Zbtb49,,,,,
Antxr2,,,,,
Tubb5,,,,,
S100a6,,,,,
Fkbp3,,,,,
Ntn1,,,,,
Otulin,,,,,
Gpsm1,,,,,
Nrn1,,,,,
Ttpal,,,,,
Nudt19,,,,,
Ppp4r2,,,,,
Tmem261,,,,,
Prr3,,,,,
Dbp,,,,,
Anxa1,,,,,
Cxcl2,,,,,
Tomm20,,,,,
Ankrd55,,,,,
Pdk1,,,,,
Kdm6b,,,,,
Gm14230,,,,,
Fchsd1,,,,,
Mrpl16,,,,,
Atpaf1,,,,,
Gars,,,,,
Zbtb40,,,,,
Cdk1,,,,,
Mpdu1,,,,,
Crip1,,,,,
Plac8,,,,,
Fzd6,,,,,
Ppfia3,,,,,
Uck2,,,,,
Uck2,,,,,
Mgat2,,,,,
Map3k14,,,,,
Gm6472,,,,,
Soat2,,,,,
Hexb,,,,,
Pde1c,,,,,
Rps26,,,,,
Ccdc173,,,,,
Unc45a,,,,,
Zbed3,,,,,
Fam43a,,,,,
Zfp142,,,,,
Pde4b,,,,,
Capzb,,,,,
Mtss1l,,,,,
Tm9sf2,,,,,
Adam33,,,,,
Smyd2,,,,,
Igkv3-4,,,,,
Pak1,,,,,
Atp6v1c2,,,,,
Dok3,,,,,
Rab19,,,,,
Gart,,,,,
Zfp869,,,,,
Fcgr3,,,,,
Tmed2,,,,,
Stx3,,,,,
Cct2,,,,,
Ppp1r2,,,,,
Wdr78,,,,,
Gm22748,,,,,
Apol9b,,,,,
Cyb5r4,,,,,
Cbfa2t3,,,,,
Rbbp4,,,,,
Cyp4f16,,,,,
Nlrc4,,,,,
Gbp7,,,,,
Itga3,,,,,
Cd3d,,,,,
Dnajb2,,,,,
Sorl1,,,,,
Kpnb1,,,,,
Abhd8,,,,,
Arpc5,,,,,
AI838599,,,,,
Ppat,,,,,
Twf2,,,,,
Rpn1,,,,,
Nr2c1,,,,,
Prmt1,,,,,
Muc4,,,,,
Tlcd2,,,,,
Aifm2,,,,,
Cyth2,,,,,
Ncbp1,,,,,
Kmt2d,,,,,
Gse1,,,,,
Raph1,,,,,
Dnajc6,,,,,
Rftn1,,,,,
Spib,,,,,
Dnajc25,,,,,
Pygb,,,,,
Nr4a2,,,,,
Jtb,,,,,
Gm15800,,,,,
Pkp4,,,,,
Tspyl2,,,,,
Phf21b,,,,,
Card10,,,,,
Ctsc,,,,,
Rassf6,,,,,
Abl1,,,,,
Impdh2,,,,,
Acyp2,,,,,
Grm6,,,,,
Rad23b,,,,,
Ola1,,,,,
Bzw2,,,,,
Cox7b,,,,,
Rin3,,,,,
Zmynd8,,,,,
Pkp2,,,,,
Ang,,,,,
Pigr,,,,,
Kmt2e,,,,,
Tcea2,,,,,
Klhl4,,,,,
Zfp536,,,,,
Fgfbp3,,,,,
Hmgn2,,,,,
Atp8a1,,,,,
Ppp2ca,,,,,
Igkv12-44,,,,,
Trim3,,,,,
Ccna2,,,,,
Ankrd27,,,,,
Ip6k2,,,,,
Cnrip1,,,,,
Nell1,,,,,
Anapc16,,,,,
Gys1,,,,,
Atcay,,,,,
Atp11a,,,,,
Limch1,,,,,
Vrk3,,,,,
Myo9b,,,,,
Slc5a6,,,,,
Arhgap15,,,,,
4930579G24Rik,,,,,
Tmem86a,,,,,
C2cd4b,,,,,
Rab8b,,,,,
Zfp618,,,,,
Samm50,,,,,
Mypop,,,,,
Rapsn,,,,,
Mapre3,,,,,
Cacna1a,,,,,
Tecpr2,,,,,
Rpl12,,,,,
Rimkla,,,,,
Rpl13a,,,,,
Atp5j,,,,,
Bcl6,,,,,
Srrm2,,,,,
Cnot4,,,,,
Mdk,,,,,
Cndp1,,,,,
Flna,,,,,
Hcst,,,,,
9030617O03Rik,,,,,
Klk1b9,,,,,
Crnkl1,,,,,
Mllt6,,,,,
Nudcd1,,,,,
Ppp1r7,,,,,
Stt3a,,,,,
Gm7809,,,,,
Arhgef2,,,,,
Gatsl3,,,,,
Iqsec2,,,,,
Dnmt3b,,,,,
Hoxb3,,,,,
Actr10,,,,,
Adi1,,,,,
Apol7e,,,,,
Klc2,,,,,
Ifi203,,,,,
Slc22a17,,,,,
Nop9,,,,,
Amigo1,,,,,
Ptov1,,,,,
D930015E06Rik,,,,,
Fbxo27,,,,,
Plcb3,,,,,
Pbx4,,,,,
Pafah1b3,,,,,
Bphl,,,,,
Xrcc4,,,,,
Nkg7,,,,,
Slc22a15,,,,,
Clock,,,,,
1810044D09Rik,,,,,
Acpp,,,,,
Cdca8,,,,,
Churc1,,,,,
Kcnk5,,,,,
Zfp395,,,,,
Rc3h1,,,,,
Gmeb2,,,,,
Scrib,,,,,
Zfp703,,,,,
Crebbp,,,,,
Gm15510,,,,,
Sp6,,,,,
Spcs3,,,,,
Plxnd1,,,,,
Plrg1,,,,,
Snx13,,,,,
Chml,,,,,
Rnf34,,,,,
Vdac1,,,,,
Hmbs,,,,,
Ighv8-8,,,,,
Dgkh,,,,,
Ddit4,,,,,
Mon1a,,,,,
Gm14139,,,,,
Magi1,,,,,
Ralgps1,,,,,
Man2a1,,,,,
Atg101,,,,,
Kif3a,,,,,
Tirap,,,,,
Ttc7,,,,,
Iqcc,,,,,
Tkt,,,,,
Zfp868,,,,,
Cnn2,,,,,
Adss,,,,,
Mapk8ip1,,,,,
AI847159,,,,,
Clptm1l,,,,,
Anln,,,,,
Gpbp1l1,,,,,
Xlr,,,,,
