metabolite,HMDB,KEGG,II_SC_1_Tcells,II_SC_2_Tcells,II_SC_3_Tcells,II_SC_4_Tcells,II_SC_6_Tfhcells,II_SC_7_Tfhcells,II_SC_8_Tfhcells,II_SC_9_Th1cells,II_SC_10_Th1cells,II_SC_11_Th1cells,II_SC_12_Th1cells,II_SC_13_Th17cells,II_SC_14_Th17cells,II_SC_15_Th17cells,II_SC_16_Th17cells,ttest_pval_TactvsTfh,ttest_tscore__TactvsTfh,padj_lim_ttest_tscore__TactvsTfh,ttest_pval_Th17vsTfh,ttest_tscore__Th17vsTfh,padj_lim_ttest_tscore__Th17vsTfh,ttest_pval_Th1vsTfh,ttest_tscore__Th1vsTfh,padj_lim_ttest_tscore__Th1vsTfh,ftest_pval,ftest_fscore,padj_lim_ftest_fscore
Sedoheptulose_7-phosphate,METPA0585,C05382,24.80869793,24.90947487,24.77241572,24.67740779,24.78944511,24.95249173,25.02034136,23.7497522,24.05755644,24.107374,23.91490613,22.92479119,23.1140247,22.94416976,23.0221182,0.17128649970529902,-1.5964056215853,0.34147500902787203,1.90088337188383e-06,-25.025885906519107,3.6948420540991996e-05,0.000335852827742393,-8.67872392095969,0.00360173204923739,5.67e-10,208.5351232,7.190000000000001e-09
"sedoheptulose_1,7-bisphosphate",HMDB60274,C00447,21.76283181,21.6590811,20.45522955,21.91841802,21.83735481,21.93255533,20.76967027,20.01155267,19.33262811,20.29007419,20.81036709,19.69181727,18.58672756,20.28732822,19.8081296,0.903604031433803,-0.127379977544376,0.961139647730622,0.014908847169039,-3.63965643908744,0.0269572759858787,0.032861248509102,-2.92398708459507,0.0774230930782631,0.004512729,7.820056243,0.007017294
4-pyridoxate,HMDB00017,C00847,19.20610535,19.85442992,19.00128296,19.69530013,18.98143778,19.64235073,18.37323206,19.44161047,16.00011139,17.69677476,18.162855899999997,16.95793099,15.72260843,14.41403786,15.89961577,0.307863227423287,1.13493264524641,0.50128515041174,0.0052639032071781396,-4.71545939838158,0.011448069212814,0.247144159136654,-1.31001713851436,0.34779110177149,0.0012666939999999998,10.90502828,0.002164516
fructoseglycine,HMDB60278,,25.68830244,25.58701638,25.62128522,25.31838604,25.34331778,25.71745398,24.98492509,24.42017168,22.86843031,22.59271754,23.61023763,18.06054071,18.42773487,18.19374671,17.97220078,0.3549401036939829,1.01902010150314,0.5464671893506371,4.23362466425174e-07,-33.8460216437583,1.6301272336601094e-05,0.0122877269585685,-3.82679518096834,0.0391591547321725,6.73e-10,202.01622460000002,8.050000000000001e-09
N2-Formyl-N1-(5-phospho-D-ribosyl)glycinamide,METPA0491,C04376,21.75279325,21.86285682,21.97374287,22.15785864,21.14827456,21.15939544,20.58353965,18.3409935,18.83064031,19.07774378,19.15167467,20.36032247,20.41568323,20.52356499,20.67028658,0.003626018390792071,5.1463327410128095,0.0212772022554025,0.0458929790164469,-2.64150514924016,0.0692850314277426,0.00053437525643018,-7.86320778232669,0.00488796190440547,3.84e-08,94.80333796,2.1300000000000001e-07
nonanoate,HMDB00847,C01601,25.40912502,25.55259899,25.51822243,25.38151129,25.57225298,25.39512425,25.54450692,25.43958058,25.59632822,25.42831197,25.42139271,25.54971082,25.41394859,25.35664104,25.47935299,0.590802022535997,-0.5740327632550289,0.761821530675482,0.459198590562834,-0.801542623731318,0.506017371608652,0.650250743808867,-0.4818693635870411,0.7434852254579329,0.870100057,0.235024851,0.891338133
(4-hydroxy-3-methoxyphenyl)acetaldehyde,HMDB05175,C05581,19.07890264,18.89754886,18.75509269,18.78612503,18.08947628,18.5106743,18.23028834,18.04328053,17.74614329,17.21089931,17.76700931,17.58524249,17.28786517,17.30787716,17.24299721,0.006619241105730821,4.4634554554377,0.0326759362520998,0.00115783676285424,-6.652319499572848,0.00305158672243786,0.0520217024617542,-2.5379788675725896,0.101753141293117,8.42e-06,33.09579172,2.2e-05
4-hydroperoxy-2-nonenal,HMDB60287,,22.44830815,22.38951806,22.61601681,21.99532384,22.45355365,22.48069286,22.98199186,22.10366515,24.0230305,23.39164454,22.90295141,22.95871755,23.14546616,22.69662169,22.69195411,0.24851446491458104,-1.3056540390216298,0.44250571239477904,0.28087658535825505,1.20852443201703,0.33340693910846303,0.393848577006439,0.9325711401366,0.5159768101923811,0.21137358399999998,1.767243586,0.24257263699999998
Azelaic_acid,HMDB00784,C08261,20.90890428,20.61849352,20.8691418,20.33122312,20.33042096,20.49001533,20.40115074,20.61378956,21.05149918,20.44228836,20.403745999999998,20.63672135,20.51694432,20.58416068,20.24377735,0.151703148972697,1.6906048171635402,0.317077747273069,0.460459537508837,0.799158165045678,0.506017371608652,0.274420867684812,1.22705963975405,0.381003972544539,0.41466317799999997,1.0357886840000001,0.45408538200000004
(R)-Pantothenate,HMDB00210,C00864,27.20775474,27.227526300000005,26.98914028,26.993597100000002,26.27818806,26.65396018,26.01384071,26.45142241,26.03927359,25.97404871,26.02970464,26.56583499,26.40513444,26.40039259,26.54211577,0.00613689701448371,4.54564618594141,0.0312881142869579,0.365383603076064,0.9950818896517,0.413215638387839,0.388000448860558,-0.945108005519416,0.513481445087802,0.000139863,18.25854354,0.00028429700000000003
carnosine,HMDB00033,C00386,22.53978922,22.63264089,22.46451273,22.67087838,22.47202936,22.95843052,22.43723982,22.20117241,21.5566299,21.18285863,21.79763066,20.49640086,20.63609849,20.49856719,20.60324666,0.7749448692041708,-0.301812817880368,0.8828126531959599,3.29916412747632e-05,-14.038309141524199,0.000180007025200901,0.0229010510775725,-3.2418930083803703,0.0613985076303883,9.159999999999999e-07,51.50328887,2.94e-06
gama-L-glutamyl-L-alpha-aminobutyrate,,,19.41130982,19.03720698,19.55729716,19.16493638,19.94005642,19.78602713,20.36208286,18.29329574,18.33068509,17.25704254,17.42189841,18.68593196,18.90783031,18.45532602,18.35911999,0.014298389590036,-3.6796790684734,0.0600918805743405,0.0009321693357591939,-6.9746631498759815,0.0024778176360778607,0.0017815424165646605,-6.047903346388838,0.0106549940683002,4.6399999999999996e-05,23.20405625,0.00010456799999999999
Galactosylglycerol,HMDB06790,C05401,18.21480451,18.98610447,19.1951172,18.45513608,19.06709259,19.55840417,19.51198747,18.57609923,20.16181512,19.06494389,19.270276100000004,19.03777913,19.33993283,19.52179564,18.94509457,0.0766523067263853,-2.2249244089973903,0.200326616738704,0.450266076850085,-0.818574927624629,0.500116963929916,0.7993297237283491,-0.2681022126357889,0.869201203075233,0.252350979,1.569473979,0.283325467
S-[2-carboxy-1-(1_H-imidazol-4-yl)ethyl]-L-cysteine,,,19.42375607,19.52198206,19.67847447,19.13993987,19.12566769,18.97393815,19.51009043,19.90164052,19.83477125,19.7253468,19.57938782,20.54823799,20.59462421,20.22217097,20.61952204,0.26417940564629,1.25728729087392,0.464179633649695,0.000670689455116732,7.489300895401981,0.00184587982779915,0.0165597519190041,3.5401602094881404,0.0476859522852802,2.1e-05,27.40960757,5.18e-05
N-acetyl-seryl-aspartate,,,21.30033544,21.20383267,21.19605763,21.24855711,21.64110269,21.59861943,21.06353751,20.26710034,19.89758237,19.90230605,20.21007145,20.27749017,20.22265801,20.42634848,20.48473382,0.267376680982489,-1.24773823181461,0.467158133626708,0.0014825509416237599,-6.29987844133916,0.0036593122448015,0.000900941824000506,-7.02649620240059,0.0068339733479062794,1.44e-06,47.14345382,4.39e-06
3-Deoxy-D-glycero-D-galacto-2-nonulosonic_acid,HMDB00425,,21.99589261,22.03855443,22.14787693,22.09759961,22.92488817,22.96536675,22.833339499999997,22.17402771,22.52549264,22.41516438,22.54123029,22.22013172,22.35877801,22.32484318,22.44078147,1.55220106390938e-05,-16.369260328699,0.000689620758394027,0.000275128725945895,-9.051430668280421,0.000910266316693332,0.00542139182993503,-4.68250464710197,0.0234174008209694,7.78e-06,33.63405403,2.07e-05
Perillic_acid,HMDB04586,C11924,17.73701388,19.11498188,18.13771696,18.669922600000003,18.1485173,18.33505519,17.74292915,18.23349482,17.1290949,17.29952969,18.24924201,18.01684028,17.28329722,17.13213931,17.68974668,0.419096256246165,0.880086708379146,0.61191988588055,0.107750214780317,-1.9566407937173,0.14635717460648098,0.404856136960604,-0.9093715867476928,0.520290324771685,0.129204666,2.343054103,0.157579024
"trans-4,5-epoxy-2(E)-decenal",,,17.89056571,18.51756253,17.46158961,18.39716153,18.50042953,17.99681896,17.65623559,18.34690282,16.45131435,15.90880393,18.02020756,18.41317153,17.64765555,17.87929672,18.01144825,0.9665873199437142,0.0440266636792752,0.9888442648108392,0.829898529903629,-0.22634053812816696,0.8546306052981079,0.28749614121063,-1.18991092515866,0.3933072628048839,0.293388086,1.4046893040000001,0.323559201
caprate,HMDB00511,C01571,24.47463792,24.41215424,24.69746598,24.26606603,24.38492602,24.3815538,24.56705082,24.31111084,24.80217697,24.62774541,24.33621156,24.46169968,24.53907253,24.36775995,24.37344966,0.884110117330214,0.153362041986436,0.961139647730622,0.9029878131025392,-0.128199609945725,0.914753126628305,0.637732510337565,0.500863783392608,0.7434852254579329,0.896336725,0.19687936,0.9139695790000001
w-hydroxydecanoicacid,HMDB02203,,20.12433737,19.67147909,20.35048416,19.60272005,19.80717652,19.70483895,20.28420492,19.74160998,21.11538275,20.02315151,20.08990813,19.64432818,19.63204562,19.53735156,19.0771582,0.984871812740782,0.0199277161972738,0.990820697845815,0.0887601256945378,-2.10877094789299,0.1249067832172,0.45749479549756,0.8047722303145309,0.576035957083972,0.127816213,2.356173161,0.157117954
kynurenate,HMDB00715,C01717,19.24691216,20.28495164,19.05960998,18.93771781,18.68987074,19.12724549,18.0812391,18.51229742,17.40964447,16.93960915,17.53758166,16.71003742,16.17375091,16.74924491,16.86667448,0.151911846764268,1.68953845403097,0.317077747273069,0.00135465476159202,-6.42668305687698,0.00339756153915419,0.0773955072217586,-2.21724900611161,0.13799342241777302,0.00011542200000000001,19.0495922,0.00023930799999999998
N(omega)-(L-Arginino)succinate,HMDB00052,C03406,25.46912448,25.50506365,25.43511356,25.39009582,23.47947634,23.53067731,23.31818451,22.86894903,22.91869928,22.95766057,22.94340461,22.53385529,22.54784235,22.49851474,22.52733726,4.8394811064691e-07,32.9492634147621,7.2887896210267e-05,1.4211739089573199e-05,-16.6651532396715,0.000108029327517438,0.000293842382090344,-8.926894635050159,0.0033687804786548398,2.7100000000000003e-15,1967.669127,3.63e-13
dIMP,HMDB06555,C06196,21.01605167,20.81137227,20.83270567,20.38986638,21.06363256,20.04302707,20.91878377,20.48557989,20.37785219,20.44665226,20.62780925,20.53741686,20.40572058,18.87980836,20.50139117,0.788981905312994,0.28236091659482204,0.8952090195120269,0.325191139499836,-1.09060830359411,0.371817810236945,0.5174128370625499,-0.696058655973859,0.633648942328744,0.292987424,1.40617101,0.323559201
L-tryptophan,HMDB00929,C00078,27.06523748,27.00794836,26.95759565,26.91048405,26.96086081,27.03804131,26.7788853,26.3858977,26.2127415,26.07616378,26.124351899999997,26.21979911,26.20172108,26.16088008,26.26686218,0.466372810696867,0.7880400000911899,0.650412305501012,0.000148820490308356,-10.292923671734199,0.000544507911598809,0.0008929884382085168,-7.04003788274676,0.0068339733479062794,1.78e-07,70.76688965,7.19e-07
5-Methoxyindoleacetate,HMDB04096,C05660,20.23252365,20.4640026,20.07939549,20.26568614,19.33671261,19.82837815,18.59653036,18.76241014,16.64608165,15.93012501,17.604351899999997,14.76625734,14.02566014,14.23838533,14.00295764,0.0237941550513032,3.20753325705083,0.0850572669075321,3.7739889127655e-05,-13.6576228440289,0.00020236388825346105,0.0500713986698046,-2.5694060262742204,0.0991860190210779,8.58e-07,52.16665528,2.82e-06
