GeneSymbol,mArray_stat,mArray_padj,mArray_log2FC_TCvsB6,RNAseq_log2FoldChange,RNAseq_stat,RNAseq_pvalue,RNAseq_padj,stat_annot
Cyp4f18,5.77909,0.00267367,1.39482,8.741591556,11.00385765,3.66E-28,6.62E-26,co_high_FC1.5
Gm5976,5.94841,0.0026782,0.261759,-1.831787559,-0.648303513,0.516788662,,
H2-Q2,-5.98479,0.00269114,-0.335362,-0.57254683,-3.602527622,0.000315138,0.001562722,co_low_FC0
Liph,5.56405,0.00269472,0.41539,1.175177777,3.143341385,0.001670309,0.006634526,co_high_FC0
Prss12,5.83574,0.00271412,0.349724,1.334569712,4.81145614,1.50E-06,1.42E-05,co_high_FC0
Gm9312,5.89593,0.00271635,0.307845,1.852766376,2.316376593,0.020537716,0.055469267,
Rab3gap2,-4.93187,0.00272369,-0.28883,-0.047328289,-0.684662578,0.493556869,0.648455787,
5031414D18Rik,4.98661,0.00277528,0.296134,0.786488474,2.587121884,0.009678135,0.029632933,co_high_FC0
Fmn1,6.29852,0.00279525,0.476151,1.258849115,5.853255411,4.82E-09,8.60E-08,co_high_FC0
Atn1,6.60251,0.0028132,0.19433,0.387219894,4.586632265,4.50E-06,3.76E-05,co_high_FC0
S1pr3,5.33557,0.00283256,0.395236,1.078719472,2.964461393,0.003032133,0.011098751,co_high_FC0
Rbm45,-6.31645,0.00286533,-0.503228,-0.25508928,-3.029962217,0.002445843,0.009235337,co_low_FC0
Zfp180,-4.96023,0.00286616,-0.43806,0.213337507,2.542290236,0.011012868,0.032949541,
Ttk,-4.88457,0.00287748,-0.503375,-0.849054251,-1.660175824,0.096879087,0.194909892,
Catsperg2,5.04779,0.0028892,0.246811,5.843723052,4.488556722,7.17E-06,5.68E-05,co_high_FC0
Rif1,-4.87803,0.00289749,-0.448552,0.12580048,1.537031267,0.124285653,0.236160555,
Wdr53,-4.86759,0.00290304,-0.139995,-0.260567655,-1.783291037,0.07453894,0.157996729,
Lbr,-4.9488,0.00291976,-0.322626,-0.093951202,-1.361587859,0.173327989,0.306060789,
Gm10101,6.40193,0.0029393,0.472041,-1.406769903,-3.913462885,9.10E-05,0.00052688,
Gm5187,4.90363,0.00295316,0.275955,0.13411924,0.129451595,0.897000325,0.93964712,
Ccr6,-5.20902,0.00303853,-0.521354,-0.207882724,-0.532617544,0.594298355,0.73183736,
Irf3,-6.25042,0.003047,-0.348457,-0.2441522,-3.233736246,0.001221822,0.005070898,co_low_FC0
Igf2,5.51618,0.00306648,0.159117,0.624887903,0.790959794,0.428967454,0.587972967,
Nsun2,-5.14926,0.00308266,-0.2381,-0.204655715,-3.614189777,0.000301288,0.001502004,co_low_FC0
Nsun2,1.60779,0.182843,0.217358,-0.204655715,-3.614189777,0.000301288,0.001502004,
Rdx,-5.26753,0.00310111,-0.115177,-0.14952909,-1.851060114,0.064160905,0.139645873,
Gal3st1,4.82762,0.00311388,0.17326,-1.290306124,-0.525966946,0.598911173,,
