,b6_r1,b6_r2,b6_r3,tc_r1,tc_r2,tc_r3,tc_r4,tc_r5
Vim,8.90783,8.89643,8.5841,8.5723,8.5602,8.76073,8.65601,8.72808
Gm9875,3.2071,3.34154,3.40409,3.33993,3.08657,3.23224,3.24069,3.37208
Pafah1b3,5.30861,5.31411,5.3353,5.29347,5.18795,5.2832,5.17366,5.28401
Gng3,3.77919,3.78629,3.65075,3.7311,3.70243,3.24799,3.67956,3.87812
1700020D05Rik,5.12184,5.49137,5.24108,4.95685,5.30359,5.33647,5.14816,5.13023
Mir487b,3.07795,3.04608,2.74311,2.62454,2.68302,2.62671,3.04974,3.04008
Olfr1340,2.33956,2.49285,2.21216,2.41116,2.38223,2.6142,2.32936,2.61406
Gm17014,6.38482,6.65688,6.51861,6.35319,6.55062,6.66197,6.52738,6.79814
Gm16088,4.28435,4.08078,4.50263,4.23253,4.56937,4.35466,4.31039,4.54151
Gulo,4.47273,4.54309,4.62332,4.45828,4.55493,4.52703,4.59305,4.6
Fam13a,3.40204,3.25812,3.2043,3.349,3.43411,3.34155,3.47079,3.52307
Sco1,5.73578,5.6236,5.39094,5.70412,5.60541,5.64911,5.44792,5.86929
Mir3961,4.19139,4.28205,4.35881,4.4729,4.3857,4.68476,4.40498,3.98342
Mnx1,4.61908,4.43694,4.52284,4.59727,4.66675,4.73209,4.68937,4.85
Mapk14,8.01413,8.17575,8.00177,8.11688,7.9668,7.98154,7.99557,8.15377
Gm25558,2.65553,2.45048,2.48565,2.7003,2.8333,2.88804,2.77655,2.84574
Gm13457,2.2637,2.65193,2.48002,2.21685,2.20396,2.25167,2.51428,2.68541
Gm22909,2.02305,2.0822,1.85564,2.03306,1.96471,2.4807,2.45806,2.24484
Lrrn3,6.0374,6.13754,6.12683,5.95353,6.00792,5.89906,5.85797,5.81055
mt-Tr,4.20523,4.00594,4.42953,5.14172,4.49449,4.22757,4.45626,4.13996
Gm13982,2.26079,2.61586,2.61127,1.97862,2.15985,2.19409,2.16516,2.48079
Gpr176,5.15569,5.07498,4.96788,5.24961,5.32115,5.39262,5.4383,5.50798
Gm8100,6.96972,7.02063,6.73344,7.07399,7.1333,7.0353,7.11553,7.06083
Zic5,2.54241,2.4759,2.63425,2.70881,2.55359,2.58635,2.88659,2.88474
Cryz,4.73237,4.75415,4.599,4.71665,4.61727,4.69643,4.66734,5.00487
Gm14552,3.81738,3.59055,3.89521,3.55484,3.69103,3.91409,3.88482,4.06083
Gm23228,2.38557,2.46373,2.35444,2.4001,2.40656,2.51238,2.46286,2.48248
Vmn1r-ps59,2.18009,2.21075,2.26299,2.26616,2.28296,2.12557,2.03454,2.87137
