,b6_r1,b6_r2,b6_r3,tc_r1,tc_r2,tc_r3,tc_r4,tc_r5
Olfr1255,2.13004,1.95166,2.18635,2.21298,2.22838,2.20008,1.94846,2.20534
Tmem126a,6.32845,6.42085,6.28332,6.35919,6.39208,6.42915,6.34605,6.45052
Serpina1e,4.28112,4.19525,4.31621,4.38882,4.37683,4.35612,4.54399,4.47198
Ghrh,5.42231,5.51058,5.42332,5.39453,5.3709,5.46918,5.61061,5.66658
Slc10a7,6.21881,6.33714,6.08569,6.34579,6.23708,6.17095,6.21519,6.34027
Hmga1-rs1,8.23202,8.16601,7.79454,8.30208,8.20031,8.01964,8.02891,8.05809
Chrac1,4.84924,4.7829,4.89619,4.91789,5.00743,4.67992,4.8321,4.84104
Gm26762,4.61788,4.47303,4.6682,4.44201,4.6266,4.50244,4.64492,4.93262
Clip1,7.57902,7.58083,7.45556,7.58572,7.50127,7.29918,7.35475,7.58551
Gm18396,1.71087,1.88126,1.92041,1.55795,1.79723,1.96821,1.61026,2.02273
Gm16254,3.81195,3.82299,3.91769,3.76222,4.16141,4.06025,3.98883,3.97475
Ptplad2,2.9378,2.85612,2.85412,3.0263,3.07156,3.00431,3.0179,3.0396
Cyp2ab1,3.9979,3.84071,3.85249,4.02234,3.94247,4.06122,4.04321,4.05231
Fam78a,7.52614,7.48905,7.16909,7.747,7.58514,7.38736,7.33877,7.4769
A730017L22Rik,6.73311,6.80562,6.4795,7.01685,6.9285,6.64076,6.67373,6.75816
Foxl1,5.38835,5.06259,5.24043,5.37777,5.61951,5.41855,5.49194,5.45342
Gm26110,9.30378,9.31493,9.9509,9.19205,9.34945,9.44321,9.759,9.61226
Amot,3.87397,3.90194,3.94737,3.80995,3.90963,3.80146,4.00849,4.09679
Gm10337,5.38189,5.69853,5.44055,5.54885,5.49636,5.4185,5.35742,4.86412
Mfsd5,7.44491,7.4307,7.46993,7.53905,7.57139,7.44041,7.34578,7.55185
Vmn2r-ps66,1.97293,1.98136,2.05275,1.88061,1.80121,2.01106,1.90561,2.53973
Gm18358,1.97277,1.85148,1.93944,1.8624,1.81649,1.94457,1.85715,2.24165
Prr14l,7.51236,7.5155,7.44969,7.56614,7.58698,7.41786,7.49768,7.53123
Srsy,2.24997,2.27334,2.12342,2.44433,2.01702,2.54318,2.36698,2.40432
Mir34c,2.53324,2.538,2.42253,2.46841,2.65384,2.28684,2.22445,2.78289
Gm20726,5.49904,5.38836,5.61381,5.74524,5.37403,5.43319,5.62906,5.46653
Lrrtm1,4.09632,3.97485,4.13991,4.05058,4.11275,4.13247,4.1198,4.10919
Gm17244,5.10724,4.93074,5.22308,5.28973,5.19742,5.23373,5.10574,5.00417
Gm14369,4.13334,4.38534,4.15304,4.18253,4.1773,4.04105,4.27193,4.53216
2310008N11Rik,3.34679,3.12786,3.05912,3.05463,3.34367,2.99453,3.04005,3.53742
Fam168b,8.86374,8.95072,8.76534,8.93315,8.79601,8.81492,8.70318,8.86847
6330403K07Rik,6.52512,6.35272,6.538,6.54932,6.38737,6.5878,6.49851,6.84683
Mtx1,5.58192,5.78333,5.77169,5.81023,5.6898,5.82517,5.70109,6.15892
Gm24041,5.80325,6.24051,6.13909,6.27291,6.22399,5.64517,6.16853,6.61044
B230311B06Rik,4.08902,4.06246,4.27995,3.96372,4.16812,3.93945,4.27239,4.20841
Chrm1,4.37534,4.1323,4.35471,4.36345,4.28741,4.40373,4.45798,4.52401
Slc22a6,4.82402,4.82459,4.76498,4.72401,4.78192,4.83096,4.88613,4.69261
Gm9359,3.97207,3.90707,3.82571,3.8685,3.88433,3.94007,3.68792,3.92822
Gm10601,5.14056,4.68191,4.89424,4.83704,5.05062,4.97618,4.77669,5.24607
Lrpprc,6.50451,6.64537,6.50635,6.43921,6.34255,6.30807,6.34584,6.54036
Gm22830,5.84998,5.76626,6.04314,5.56714,5.92982,6.05839,6.06468,6.30349
Gm4312,4.84238,5.01495,4.88657,4.52047,4.84694,4.97597,4.9803,4.93297
Gm13384,4.11351,4.51669,4.47155,4.56317,4.24006,4.58683,4.48655,4.81248
Echdc3,3.8044,3.4693,3.50224,3.59325,3.71325,3.73734,3.74823,4.00034
Gm13311,8.17774,8.17925,8.19563,8.09259,7.84459,7.9776,8.01354,8.20539
4930594M22Rik,3.80434,3.59795,3.61897,3.69588,3.80691,3.77731,3.69616,3.91131
Scnn1a,4.69723,4.65214,4.65666,4.63563,4.7363,4.71919,4.81613,5.00299
Gm13226,11.3725,11.3279,11.3797,11.4263,11.4378,11.2966,11.31,11.3508
Gm13091,7.80321,7.89046,7.65585,7.9476,7.93387,7.72821,7.67098,7.79975
Gm11953,9.74386,9.60254,9.49896,9.91611,9.80433,9.83039,9.78672,9.6543
Tbl1xr1,8.13061,8.29075,8.22619,8.19548,7.98158,7.93197,8.11501,8.02803
Gm23258,1.44455,1.50543,1.71421,1.65654,1.71421,1.68968,1.70987,1.90147
Cul3,8.94302,9.09505,8.99772,8.95943,8.93792,8.81062,8.82622,8.98669
LOC102636359,3.73764,3.33517,3.53834,3.83227,3.90271,3.63636,3.43885,3.80353
Gm27025,2.47871,2.53875,2.64616,2.42244,2.84243,2.54914,2.50793,2.87261
Usp30,7.21909,7.28454,7.23659,7.33141,7.19293,7.25207,7.08173,7.16225
Ung,5.63748,5.58541,5.73028,5.75703,5.60328,5.65803,5.49915,5.73352
Atp5g1,7.89118,7.86185,7.73765,7.87793,7.73887,7.77621,7.69566,7.97934
Ube2z,8.73253,8.85417,8.67682,8.81279,8.58327,8.83002,8.70075,8.8644
Olfr286,3.86987,3.69955,3.64897,3.73502,3.92148,3.92412,3.8657,4.07461
Gm4011,2.89376,2.63525,2.66984,2.49085,2.74226,2.74334,2.6264,2.59849
Gm10768,2.44048,2.37698,2.49663,2.37728,2.29318,2.7599,2.32485,2.49141
Gm8005,3.52302,3.5647,3.58843,3.2883,3.54347,3.79321,3.62578,3.75466
Gm2951,3.15923,2.8708,3.35276,2.94963,3.43091,3.46172,3.11003,3.2687
Gm13859,3.05949,3.04236,2.8465,3.0354,3.04092,2.87937,3.19336,3.22061
Olfr1383,2.93108,3.30675,3.14762,3.35263,2.99342,2.89815,3.07355,3.26661
Gm10112,4.0788,3.52051,3.82711,3.91551,3.88136,3.52283,3.90327,4.01592
n-R5s118,9.17605,8.88019,9.52452,8.90768,9.02983,9.50738,9.4194,9.7534
2310030A07Rik,2.49773,2.55436,2.48333,2.49597,2.51584,2.58176,2.54792,2.49536
Vmn1r-ps97,2.24085,2.27527,2.28338,2.43423,2.30147,2.44224,2.35736,2.7967
Brat1,6.44058,6.4867,6.36685,6.55194,6.51659,6.52362,6.38273,6.43826
Nptx1,4.74131,4.4432,4.63077,4.46976,4.63862,4.71176,4.79856,4.67229
Gm25596,4.49868,4.75211,4.71829,4.30823,4.75087,4.73263,4.70233,4.93919
Psd4,8.47572,8.52178,8.45214,8.54868,8.49297,8.5151,8.49877,8.62078
Haus5,6.4282,6.37149,6.31417,6.34479,6.26114,6.1237,6.09436,6.10318
Gm22880,5.2725,4.97776,5.20751,5.13437,5.1997,5.12862,5.39778,5.87873
Gm26520,5.3918,5.01831,5.17288,5.08884,5.05709,4.84355,5.08035,4.8533
Trappc3,7.9259,7.94834,7.90237,7.81364,7.67433,7.81412,7.70094,7.98068
Olfr1103-ps1,1.67737,1.81088,1.736,1.76331,1.85477,1.87535,1.76249,1.97219
Olfr1247,2.48427,2.31313,2.22365,2.16421,2.51807,2.34849,2.3401,2.78755
Cd209g,5.39149,5.26511,5.2416,5.45082,5.53591,5.36453,5.6129,5.7052
Gm16328,3.97557,3.76322,3.82682,3.89247,3.95471,4.02436,3.86686,4.29284
Gm15629,4.01788,3.68686,3.82061,3.8432,4.11761,3.7322,3.83263,3.7974
Gm26780,3.41512,3.59047,3.68616,3.49441,3.63184,3.77315,3.72273,3.9126
Gm12340,9.09459,8.92332,8.61018,9.21065,9.25865,8.9172,8.79538,8.7653
Mir6338,2.37168,2.42984,2.41769,2.16732,2.35393,2.52076,2.59083,3.15552
Gm22666,4.01924,4.0867,4.17684,3.81972,4.05087,4.19835,4.19509,4.16503
Klhl34,2.89852,3.26635,2.91904,3.0871,3.21269,3.19768,3.13884,3.24395
Gm22615,6.14971,6.18209,6.22201,6.13838,6.22935,5.79676,6.04668,6.39206
Ager,5.52435,5.50785,5.50993,5.64627,5.60019,5.4835,5.66692,5.78878
Gm17769,3.73426,3.74858,3.95171,3.87039,4.09702,4.48262,3.9337,3.96561
A230006K03Rik,3.62493,3.58621,3.58485,3.58549,3.67395,3.71895,3.74597,3.8786
Klhl28,6.31089,6.33838,6.27921,6.30243,6.24295,6.2241,6.24686,6.42348
Fscb,1.73342,2.0183,1.98846,1.81319,2.0299,2.10038,1.83728,2.06476
Slc11a1,5.04649,4.97086,5.1482,4.8849,5.10436,5.07397,5.19005,5.25986
Leprel2,5.69577,5.58483,5.76203,5.60767,5.75879,5.7313,5.85846,5.74448
Pde7a,7.32659,7.46988,7.40289,7.48541,7.4055,7.16223,7.39402,7.51825
Cpb1,3.07744,2.97026,3.06782,2.96955,2.96055,2.99937,2.89458,3.22388
Olfr1323,2.73218,2.42336,2.34787,2.63793,2.44601,2.581,2.52941,3.05911
Gm7803,10.2182,10.2248,10.2634,10.2064,10.131,9.98845,10.0503,10.2197
Gm26062,4.04814,4.04165,4.07831,4.06179,4.26328,4.35325,4.19803,4.21134
Lrrc51,4.52743,4.51576,4.69646,4.60105,4.66231,4.62859,4.52768,4.91968
Dync1i1,3.94385,3.85331,3.84457,3.91995,3.96001,3.93214,3.93324,4.21265
Gm12473,6.7208,6.63867,6.90965,6.73199,6.83912,6.97142,7.01267,7.29349
Mir8109,6.07425,5.99485,6.17477,6.26165,5.95819,6.35374,6.09605,6.15952
Mt3,6.2231,6.22793,6.36099,6.21985,6.4131,6.4355,6.28811,6.48195
Slc12a3,4.56893,4.42253,4.57151,4.52283,4.50814,4.49093,4.66558,4.81599
Chit1,4.00728,4.07206,4.00173,3.91309,4.02168,4.05057,3.97119,4.24815
Gm8618,11.342,11.4478,11.4227,11.5282,11.3867,11.2838,11.3113,11.3991
Gm11128,3.48153,3.50002,3.59518,3.52836,3.49504,3.61545,3.55857,3.45059
Klra23,3.32877,3.12153,3.17819,3.25877,2.99591,3.25861,3.03593,3.32706
Klra8,2.373,2.49564,2.39808,2.44887,2.49196,2.47455,2.51465,2.72246
Amer1,4.85329,5.11261,5.15729,5.10784,5.26137,5.08817,5.00369,5.14899
Gm22707,7.0374,7.09922,7.46952,6.95871,7.03872,7.11058,7.16331,7.0086
Mir3083,1.62733,1.63817,1.70586,1.76516,1.67902,1.96857,1.63779,1.69401
Olfr870,3.1088,3.10107,3.38786,3.19763,2.97763,3.31357,3.08752,3.10568
Gm26290,1.72323,1.91629,1.88368,1.70272,1.62542,1.51064,1.68549,2.49865
4933406P04Rik,4.61944,4.32198,4.64048,4.52539,4.41786,4.10309,4.44993,4.69139
Pde7b,4.42399,4.50722,4.32735,4.69996,4.54595,4.9748,4.67689,4.75117
Gm25704,7.78097,7.90451,8.36659,7.70014,7.71803,7.87589,8.19061,8.03886
4930474N05Rik,3.69197,3.75788,3.5691,3.80353,3.77567,3.75928,3.8477,4.01641
Gm19514,3.51755,3.2542,3.28509,3.24581,3.51362,3.62751,3.38508,3.95218
Kank4,4.44703,4.24056,4.21053,4.30889,4.42415,4.43354,4.59091,4.69791
Tmem44,4.84078,4.82398,4.83123,4.84747,4.93544,4.85327,5.00013,5.11219
Gm26759,4.20066,4.58032,4.62933,4.65588,4.57642,4.58315,4.50842,4.67667
Itpkb,9.62266,9.71009,9.6939,9.83971,9.76321,9.49564,9.68272,9.69663
Gm15480,5.4719,5.55277,5.53955,5.45289,5.72687,5.37348,5.8,5.7316
1700024J04Rik,3.48918,3.2261,3.71449,3.50692,3.43954,3.47475,3.43364,3.38838
Gm8648,9.78316,9.84776,10.0943,9.81248,9.79113,9.9958,10.0555,9.97662
Gm324,2.87413,2.64204,2.83888,2.71357,2.71053,3.13024,2.91244,2.68554
Gm21413,3.11897,2.79652,2.9139,2.883,3.04886,2.98299,2.78906,3.19337
Gm21489,2.02037,2.00437,2.18959,2.1763,2.1691,2.4082,2.17063,2.4634
Gm21832,3.10838,2.77251,3.17511,2.83739,2.89353,3.1081,3.07134,2.90063
Zswim3,6.17571,5.91076,5.64772,6.13687,5.82931,5.86428,5.83695,6.07198
Ccdc174,5.61794,5.80441,5.7859,5.68079,5.80455,5.8047,5.59125,6.11176
9530026P05Rik,3.17415,2.98642,3.09098,2.97562,3.21322,3.21251,3.11807,3.31892
Hdac1,8.77941,8.8256,8.6768,8.85824,8.7684,8.70875,8.67799,8.8946
Txlna,7.24915,7.18286,7.1634,7.1958,7.0556,7.17249,7.1762,7.3488
Kpna6,6.6996,6.80938,6.64638,6.75576,6.64682,6.74907,6.60679,6.73807
Slc40a1,3.85416,3.94243,3.7973,3.9483,3.92726,4.02371,3.91563,3.9902
Eif4e1b,4.80044,4.80755,4.91727,4.81814,4.7903,4.81969,4.85787,5.00187
Jrk,6.33675,6.32294,6.10461,6.14058,6.22449,6.2385,6.0123,6.26101
Olfr1469,2.12248,2.1621,2.24158,2.0144,2.12835,2.09143,2.06457,2.59289
Tapbp,9.32552,9.30044,9.09879,9.41746,9.25002,9.3757,9.10649,9.15674
2610303G11Rik,3.90956,4.1149,3.96097,3.72264,4.18196,4.04032,4.04845,4.12698
Gm22794,3.15545,3.19734,3.17904,3.29709,3.26414,3.39395,3.22645,3.37821
4933416C03Rik,4.23171,4.21014,4.23698,4.13685,4.34152,4.40123,4.34189,4.49052
Arrdc1,8.13486,8.07622,8.02725,8.13781,8.11062,8.00427,8.10875,8.05934
Gm5087,3.38468,3.2405,3.14753,3.24763,3.33963,3.32043,3.17408,3.59045
Gm12009,9.3694,9.49523,9.5177,9.39305,9.28464,9.47409,9.50745,9.55317
Cyp4a10,3.14107,3.02276,3.31965,3.18197,3.31781,3.40703,3.26728,3.43782
D3Ertd254e,5.25692,5.39572,5.10848,5.36443,5.24191,5.13529,5.07841,5.27093
Gm14730,7.52026,7.72391,7.80083,7.43709,7.47082,7.5243,7.68575,7.66752
4930453O03Rik,3.06852,3.16647,3.12844,3.16309,3.27335,3.37041,3.29603,3.24256
Ddx54,8.61134,8.66601,8.57933,8.64207,8.48178,8.56476,8.42334,8.60936
Gm14186,6.45619,6.56974,6.37713,6.44759,6.62389,6.19639,6.63474,6.49321
Calcoco1,7.11773,7.15701,6.88649,7.4265,7.25729,7.20098,7.07352,7.10205
Aaas,7.39549,7.42878,7.25507,7.50508,7.43746,7.15556,7.22227,7.42296
Ehd2,5.48639,5.30446,5.41458,5.44088,5.44779,5.6442,5.64072,5.58934
Rbm20,4.83132,4.69525,4.78027,4.7426,4.86084,4.86697,4.83565,4.98432
Angptl3,2.39837,2.2713,2.15128,2.31078,2.42772,2.327,2.31969,2.67889
Gm12731,3.45733,3.40363,3.06217,3.17805,3.31839,3.34255,3.26133,3.33496
Cd302,3.32601,3.22722,3.1405,2.97401,3.27887,3.35971,3.23722,3.41034
Olfr49,2.94702,3.0734,3.50824,3.25377,3.15586,2.94802,3.34722,2.93479
Gm22699,1.70597,1.63486,1.56857,1.74751,1.63268,1.79912,1.91772,2.29765
Gm24611,3.8257,3.25485,3.47118,3.66228,3.76238,4.20064,3.72587,4.24263
Ftmt,4.54065,4.77167,4.78236,4.76272,4.82979,4.54272,4.62757,4.68573
Hint1,8.09196,7.82805,7.97748,7.79304,7.94063,8.03855,7.85082,7.92589
Krtcap2,7.56151,7.58553,7.62672,7.51355,7.51679,7.59804,7.44668,7.52555
Astx3,2.21104,2.46636,2.09704,2.23361,2.61634,2.27595,2.06524,2.89586
Uba52,8.81857,8.81357,8.77102,8.7436,8.62535,8.72827,8.68998,8.94004
Gpr52,6.78129,7.15528,7.42863,7.23291,7.00446,6.94711,7.48252,7.56144
Mir6368,4.21367,4.25374,4.00754,4.27053,4.30741,4.44598,4.05982,4.85285
Gm15407,4.3835,3.76049,3.9436,3.93421,4.10044,4.07274,4.10538,4.32633
8430423G03Rik,4.90211,4.87522,4.75977,4.91941,5.07957,4.80615,4.83641,5.0079
Zfp53,6.24942,6.32025,6.28051,6.35606,6.35966,6.23298,6.21402,6.45296
Gm17798,3.3345,3.42109,3.40026,3.41623,3.45232,3.53995,3.33324,3.51186
Scml4,6.68978,6.86372,6.6804,7.05782,6.98388,6.8296,6.77469,6.76772
Odf2,6.85625,6.82955,6.79908,6.78161,6.7916,6.73325,6.74021,7.00503
4930558N11Rik,2.95306,2.85813,2.9324,2.9906,2.91905,2.95871,2.94253,3.17191
Ruvbl2,6.51467,6.53771,6.4145,6.57738,6.44449,6.48183,6.40946,6.60138
9930021J03Rik,6.00436,6.16622,6.13654,6.23875,6.13793,6.20847,6.13871,6.31981
Pqlc3,7.75532,7.5983,7.44822,7.72473,7.6418,7.64463,7.3712,7.56292
Taf12,6.78296,6.7782,6.75588,6.76703,6.78705,6.81251,6.63823,6.82526
Hmox2,7.65049,7.59303,7.5116,7.6386,7.48586,7.60979,7.57731,7.59441
Gm13796,4.14311,3.79156,4.19679,3.98865,4.04195,3.71004,4.20517,4.64648
Kbtbd11,8.57104,8.46942,8.35969,8.43103,8.39164,8.24626,8.19543,8.39478
Gm26805,4.40866,4.45727,4.53695,4.40516,4.48119,4.38284,4.62981,4.60737
Arhgap25,9.0447,9.14149,9.03744,9.08131,9.02728,8.82105,8.84957,8.86967
Tmem132e,5.47929,5.2515,5.49104,5.40186,5.49501,5.49642,5.56333,5.63826
Dkk2,3.4478,3.31571,3.16275,3.45666,3.20925,3.5953,3.39259,3.26468
Gm14353,4.3048,4.32951,4.27762,4.10914,4.37588,4.23911,4.38395,4.45507
D630045M09Rik,3.84917,3.80807,3.80155,3.67434,3.56517,3.75339,3.87408,4.1251
5033403H07Rik,4.11014,4.03949,4.31584,3.98875,4.357,4.19888,4.28729,4.48344
Gm7031,2.10824,2.03554,2.20165,1.95538,1.97644,2.34989,2.35558,2.26336
Gm19807,6.73638,6.60826,6.75417,6.49905,6.63882,6.64674,6.48736,6.88476
Gm10592,3.81142,3.40457,3.96487,3.67125,3.77881,4.07252,3.87791,3.95806
Rps27l,6.09779,5.98024,5.96638,5.89324,5.97889,6.12612,6.03891,6.1309
Gm14425,5.27763,5.15487,5.26295,5.09734,5.25458,5.24318,5.20099,5.48143
AI463170,5.89788,5.66223,6.04275,5.82338,5.93219,5.80629,6.05471,6.40997
Gm10757,2.5477,2.54892,2.71592,2.57505,2.46169,2.70144,2.73533,2.54318
Gm15882,4.66894,4.48613,4.53242,4.54028,4.67952,4.71029,4.58985,4.94034
Klrc1,2.84273,2.73931,2.64613,2.61863,2.70204,2.76568,2.68627,2.81315
Ska1,4.45561,4.24788,4.3692,4.09058,4.01273,4.33773,4.30146,4.45452
Gm11641,6.04642,5.62929,5.89251,5.65883,6.02255,5.93552,5.97234,6.02001
Gm20446,2.24718,2.34083,2.43455,2.3923,2.36942,2.62149,2.57201,2.82271
Gm20515,3.45927,3.51444,3.61216,3.78473,3.81869,3.86864,3.5791,3.94735
Gm7073,2.07127,2.12655,2.43825,1.98758,2.19275,2.04975,2.35672,2.5444
Ethe1,6.37431,6.40542,6.28669,6.41248,6.42163,6.31249,6.1533,6.42495
Gbp10,9.26922,9.30753,9.28321,9.29222,9.22734,9.66247,9.27396,9.20637
Gm15817,3.75139,3.95991,3.62349,3.80447,3.78807,3.7886,4.00867,3.89842
Gm25909,1.84873,1.8803,1.96025,1.7675,1.82309,1.75355,1.82709,2.16161
4930477N07Rik,3.47787,3.14955,3.23144,3.11437,3.25711,3.39979,3.3457,3.66466
Gm3269,4.15107,4.44263,4.68149,4.02288,4.32777,3.97502,4.121,4.07156
Olfr685,3.24505,3.75126,3.51484,3.32547,3.32836,3.41792,3.62214,3.83802
Gm5874,5.82031,5.91629,5.73416,5.79764,5.75881,5.82926,5.31571,5.88934
Gm26809,8.27248,8.51089,8.9109,8.21859,8.30935,8.30297,8.5463,8.36674
Ighg1,4.8511,4.86426,5.21663,4.20438,4.28653,6.37429,5.7993,5.09505
Ighg2b,6.65881,6.97193,8.51065,4.51889,4.80591,6.95246,6.29566,6.01345
Gm12475,4.85529,4.953,4.81328,4.76133,4.75752,4.79523,4.8569,5.19338
1700037C18Rik,5.08855,5.01486,5.06103,5.12617,5.04115,5.1071,5.05044,5.24886
Olig2,5.93526,5.58653,5.90513,5.88864,5.99378,5.9369,5.81425,5.91948
Slc1a4,5.78406,5.69857,5.50682,6.67272,6.32608,7.12743,6.51362,6.90765
Gm22577,2.99269,3.18361,3.07196,3.43347,3.42812,3.32401,3.02825,3.42366
Rlim,7.08148,7.26338,7.1938,7.11503,7.10613,6.99414,6.98728,7.36378
Cyp2d12,3.68179,3.59517,3.58686,3.60127,3.62498,3.63184,3.66475,3.90289
Gm5806,5.70581,5.832,5.81134,5.55157,5.71874,5.58261,5.56451,5.57827
Gm22969,9.98227,9.82802,10.3034,9.62538,9.97046,10.1806,10.2607,10.4699
Prkar1b,5.48301,5.39878,5.49713,5.3284,5.426,5.43113,5.49699,5.61132
Ephx3,4.10846,4.00622,3.97609,3.95908,3.9658,3.85431,4.13683,3.8986
Gm20781,2.35295,2.58656,2.5649,2.43144,2.67135,2.51464,2.52139,2.93765
Nrgn,5.73993,5.5969,5.62966,5.90677,5.87709,6.1564,5.86429,6.10174
Gm25026,2.16703,2.12574,2.31929,1.78117,2.04263,1.94865,1.72242,2.90573
4930447J18Rik,2.88198,2.91169,2.64475,2.70661,2.83817,2.63942,2.64118,2.77215
Gm10153,6.36349,6.34603,6.68048,6.3617,6.55283,6.30292,6.53855,6.5664
Creb5,3.83378,3.73324,3.80323,3.75583,3.8406,3.73415,3.98267,3.89658
Gm24967,9.96994,9.83412,10.3251,9.60076,9.95608,10.1905,10.2923,10.5079
4930565N06Rik,3.70957,3.538,3.66796,3.73585,3.65927,4.09727,3.86203,4.28081
Gm5606,4.37578,4.47276,4.2301,4.51188,4.50374,4.6274,4.48959,4.61612
Gm11341,5.12218,5.06888,5.05857,5.13717,5.07413,5.11327,4.90069,5.05368
Mir3097,6.67038,6.91265,6.90808,6.79562,6.78134,6.72493,7.00485,6.8762
Slc36a1os,3.404,3.52011,3.27894,3.4049,3.55548,3.64219,3.58909,3.5056
Ugt8a,3.51447,3.49572,3.5633,3.39288,3.67479,3.68202,3.57399,3.75472
Gm4861,2.35795,2.54207,2.31948,2.30003,2.49279,2.53119,2.51333,2.46673
Gm25651,4.86922,4.66686,4.96647,4.84034,4.97157,4.94098,4.97686,5.22853
Hrsp12,5.20279,5.5326,5.36098,5.17835,5.36529,5.3439,5.06795,5.29289
Olfr556,3.15009,3.15174,3.40393,3.46425,3.23504,3.21151,3.23093,3.32052
Gm6682,10.2951,10.2972,10.0854,10.2411,10.0723,10.0491,10.0472,9.97659
Mmp16,3.22575,3.17973,3.33264,3.21812,3.24543,3.16614,3.25614,3.56784
Gm23863,1.92639,1.80271,2.27902,1.62603,1.68988,1.8354,1.88051,2.09751
4930404N11Rik,6.11448,5.96859,5.99545,6.06879,6.19465,6.14321,6.15476,6.11273
Fzr1,7.28173,7.21987,7.25545,7.28919,7.21492,7.1983,7.12801,7.25884
1700007M16Rik,5.83572,6.1131,6.31122,6.01193,6.11587,6.06103,6.18398,6.34107
4930452G13Rik,3.16144,3.20657,3.1498,3.05066,3.43214,3.27111,3.39042,3.44797
Phyhip,4.70002,4.60138,4.78471,4.65077,4.77608,4.66212,4.67424,4.87773
Zfp593,5.95099,5.99276,6.1205,6.06867,5.9868,6.00849,5.93923,6.25386
Igsf5,3.84425,3.85697,3.92977,3.84064,4.09655,3.91508,3.89487,4.18196
Gm21657,3.03956,2.94827,3.18694,2.93124,2.93729,2.89144,2.90446,3.19485
Gm11575,7.55648,7.56569,7.56978,7.68832,7.47684,7.54889,7.5072,7.59737
Gm21963,8.25283,8.20472,8.24191,8.02276,8.14637,8.30723,8.29222,8.34623
Mir713,3.08452,3.35798,3.41988,2.91862,3.28095,3.12534,3.46328,3.80964
Fam47e,4.1917,4.17943,4.26746,4.21366,4.25777,4.38431,4.37469,4.40914
Cct6b,3.67166,3.51778,3.61382,3.58674,3.65742,3.68827,3.77618,3.80375
C1qtnf6,5.741,5.29978,5.32956,5.48225,5.59421,5.58473,5.29445,5.49647
Rplp2,7.2705,7.25949,7.36888,7.38546,7.44673,7.26316,7.15669,7.42559
Dmrt1,4.06661,3.91712,4.00982,4.10526,3.78101,4.08437,4.04428,4.20104
4930418C01Rik,3.5522,3.54712,3.89849,3.61052,3.78004,3.55579,3.63641,3.69372
Gm527,5.96655,6.18456,5.92419,6.16145,6.05693,6.11798,5.94343,6.48001
Hsd17b6,2.88513,2.9888,3.04713,2.98418,3.02357,2.79547,3.07259,3.3629
4930572O13Rik,3.17792,3.41246,3.55595,3.34692,3.43663,3.16071,3.30517,3.72744
Gm15706,5.90805,5.86569,5.76441,5.98944,5.93583,5.92619,5.82048,5.98102
Dsg4,3.09982,3.05036,3.02958,3.05049,2.98149,3.16571,2.96583,3.40834
Gm22223,2.31065,2.17892,2.78468,2.3054,2.75588,2.7991,3.06325,2.96475
Gm15388,4.32613,4.54924,4.78614,4.43546,4.34872,4.38082,4.70246,4.78016
mmu-mir-3473f,7.29917,7.30229,7.47965,7.21809,7.32772,7.33124,7.36974,7.4395
Aacs,6.70798,6.6796,6.63472,6.6488,6.56929,6.58394,6.548,6.72142
Gjc1,4.71357,4.5965,4.76856,4.61561,4.61161,4.74364,4.59083,4.79171
Casp12,2.91033,2.95695,2.94826,2.84502,3.08207,3.15487,2.96585,3.40144
Mir466b-6,2.55424,2.76349,2.75309,2.6264,2.98904,2.77962,2.85877,2.97435
Mir467a-7,5.01665,5.14646,5.1135,4.9532,5.02095,4.95397,5.07876,5.0501
Vmn1r127,2.70581,2.88245,2.94886,2.77625,2.48195,2.89438,2.8888,3.53312
Vmn1r129,2.23477,2.47815,2.37862,2.46583,2.42375,2.40097,2.73673,2.94955
Lrp5,5.07878,4.91558,4.95929,4.85269,4.9807,5.07575,5.10547,5.14766
Cyp46a1,4.82041,4.81504,4.97974,4.84936,5.01619,5.06068,5.2067,5.09913
3110018I06Rik,2.98481,2.66307,3.03207,2.6582,2.71086,2.87753,2.52009,2.90319
Gm13634,3.95014,4.06371,4.23927,4.18702,4.19654,4.11187,4.14259,4.51411
Spink10,3.24991,3.20302,3.34005,3.29365,3.37122,3.22961,3.33613,3.35712
Mief2,5.8706,5.69538,5.72433,5.77981,5.90741,5.80824,5.90658,5.90662
Llgl1,6.41522,6.45496,6.28827,6.52239,6.465,6.41618,6.35699,6.49996
Nkx1-1,6.67268,6.661,6.63435,6.59301,6.68097,6.78255,6.8196,6.80008
Mgst3,4.13076,4.26316,4.25326,4.04048,4.25921,4.04063,4.24675,4.3043
Txndc5,7.47426,7.67632,8.083,7.11468,7.12828,7.22109,6.97253,7.12043
Axin1,7.66343,7.70876,7.62893,7.64349,7.51033,7.56876,7.53381,7.79676
0610011F06Rik,6.93056,7.02958,7.05199,7.0994,7.01344,7.06962,6.95589,7.25409
Gm24930,5.50465,5.38334,5.5114,5.40708,5.32219,5.5443,5.47663,5.61775
Gm25865,6.20738,6.30508,6.47375,6.09619,6.36302,5.967,6.44971,6.36181
Gm13962,3.56181,3.67453,3.72408,3.42509,3.58032,3.80362,3.74026,3.78069
Olfr1277,2.33732,1.88454,2.01379,1.91601,2.01438,2.20519,2.14504,2.09194
Eps8l1,7.01554,6.6485,6.57649,4.76882,4.83496,4.86033,4.8415,5.15464
Zfyve16,5.70339,5.82071,5.94233,5.88323,5.84236,5.60652,5.70152,6.01416
