Unnamed: 0,stat
Actr3,-3.83838
1700109K24Rik,4.00188
Ighv1-86,-5.9633
Dpp4,-3.8779
Copa,-4.02748
Aatk,3.82454
Il13ra1,3.86555
Gm11847,-3.82257
Scn11a,4.17531
Prim2,-3.8246
Ntng1,4.40199
Olfr1384,3.8234
Tmem95,3.9541
Gm6039,-3.92762
Gm14262,4.06657
Zfyve21,4.2687
Sgcg,3.79814
Brip1,-3.79761
Zfp781,4.07768
Soat1,-4.06937
Usp6nl,4.72126
2810047C21Rik1,-3.81085
Trim40,4.46499
Epb4.1l4a,3.88809
Hmha1,-3.92459
Cwc22,-3.99831
Gm8048,4.2012
Ighv1-43,-4.21509
Ighv1-16,-4.51778
Taar7c-ps,4.50019
Tctex1d2,3.94639
Dock7,4.14198
Uba7,4.44729
Gm15716,3.92236
Rtn4rl2,3.96577
Nfasc,3.7861
Mcee,-4.64415
Ptch1,3.97955
Prkca,3.81511
Asb3,-3.85027
Cldn17,4.28862
Tk1,-4.89512
Sdk1,3.92375
LOC238440,-7.16837
Gm6441,3.97293
Ormdl1,-4.98313
Gm16157,-4.17157
Snora47,4.06872
Fam3b,4.22742
Gm5129,3.78015
Fam84a,3.95595
Dap,3.99286
Ppox,-3.79943
Nlrp2,4.20167
Ncapg2,-4.3997
Efna5,3.94551
Gng4,4.4664
Gm14747,-3.89286
Pipox,3.76054
Fam110c,3.92752
Gm12148,3.98815
Fancf,-4.23029
Mrpl23-ps1,-3.86991
Cyp4f40,3.97493
Ufsp1,4.02723
Trim59,4.45998
Gm9174,-3.9655
Tmtc1,4.26165
EU599041,-5.63472
Rsl1,-3.78247
Ccdc60,3.73573
2810417H13Rik,-4.1497
Gm26995,3.77149
Tmem65,3.86235
Eif3l,-3.75148
Bcl9,3.8874
Dnaaf3,4.56059
Gm25411,4.42626
Gm26695,3.73236
Gabre,3.75637
Cypt2,3.89695
Taar5,3.85972
Blm,-4.03204
Zfp273,-4.66519
Irx6,3.71706
Cct4,-3.71751
Tlr3,3.73836
Mndal,4.72851
Gm6232,3.82113
BC021785,4.11532
Cd8b1,3.78731
Gpr174,-4.52854
Hiatl1,-3.81964
Isg20,3.7727
Hdac5,4.31336
Gata3,3.86394
Igkv4-68,-5.30073
I830127L07Rik,3.70788
Wdr66,-4.13872
Cdc25c,-3.70916
Fan1,-4.36507
Gnas,3.89487
Gm11819,3.69351
Csgalnact1,4.35671
Gm11414,3.69114
Slc7a5,-3.8491
Plod3,3.87734
Kpna2,-4.37356
Olfr193,3.7801
Ccl27a,3.83575
Lars,-3.82386
Ctla2a,-4.11425
Gm5595,-6.35119
Gm13172,3.94158
Olfr792,3.72446
Atrnl1,4.07003
Gm8271,-3.7763
Per1,3.83608
Tmem131,6.6045
Pank3,-3.79868
Gm9873,4.1025
Acot4,3.67925
Gm5398,3.83695
Gm4841,3.74301
Cpm,-4.52221
Gm9385,-3.71785
Gpx3,4.24748
Chrm4,-4.31731
Gsdmcl2,3.65766
Dusp6,3.83671
Fam222a,4.45843
Ppdpf,-3.67049
Gm5531,3.87915
Hmgb2,-3.65479
2700012I20Rik,3.65451
Gm15428,-3.74516
Slc7a10,-4.24507
Athl1,3.7641
Cep350,-3.69869
Mcm7,-4.21839
Mcam,3.70737
Gm9292,4.0353
Lmnb1,-3.66349
Zhx3,3.69715
Nat10,-3.95082
Tex33,4.40622
Gm16191,3.70019
Sgol1,-3.7749
Hspa2,3.66039
Myoz3,3.89649
Klhl36,-3.6405
Cda,3.70171
1700019G17Rik,-4.47654
Vmn2r-ps67,-6.39259
Gm7572,4.29155
Smpdl3b,-5.44433
Rasl11a,4.45278
Gm20692,-3.72214
Slu7,-4.14357
Pglyrp1,5.81089
Zfp964,3.70941
Trav13d-3,3.73506
Tmem159,4.28698
Papolb,3.8912
Gm6091,-4.28826
Kctd4,4.28254
Gm22087,3.64792
E530011L22Rik,4.19287
Snrnp40,-3.60576
LOC102634431,3.64782
Gm5898,-3.60565
Gm6270,6.44268
Gm7607,3.6896
Relb,-3.85994
Klk1b24,-4.38564
Gm22794,3.89862
G2e3,-3.90883
Gpd1,3.67832
Diap2,3.89032
Dhfr,-4.17683
Gm10357,-4.74829
Gm10590,3.82859
Catsperg1,4.26511
Igkv4-81,-5.45338
Fam43b,3.69701
Mtap,-3.62205
Dcbld2,4.17164
Sptb,3.89345
Mir1955,-3.59711
P4ha3,3.61802
Shcbp1,-4.01634
Gm12990,3.83639
Lnp,-3.58384
Gab2,3.84826
Pole2,-4.132
Tssk6,3.69807
Wfdc2,3.63434
Zfp473,4.06933
Gm6967,3.62368
Dpp7,3.57448
Btla,3.57616
Ahr,4.18493
Neo1,-3.56382
Gm20515,3.56304
Psmc1,-3.57479
Xdh,4.49706
Mecp2,3.90045
Gm4726,4.17372
Slco2a1,3.94396
Mki67,-3.79208
Pomt2,3.89532
Pde7b,3.55866
Gm12510,-3.55446
Gm15509,3.55343
Ighv1-31,-4.75067
Gm21996,3.67124
Loh12cr1,3.59772
Lrrc2,3.75163
Arhgap11a,-5.6233
Clrn3,3.54678
Gm8050,-4.30023
Bub1,-3.75786
2900052N01Rik,3.94477
Sp9,3.63501
Zbtb18,4.33154
Gm21364,3.53872
Igh-V15,-3.62502
6330409D20Rik,3.85292
