BinBase name,MID,annotated_KEGG_name,TC_Tfh_geoMean,B6_Tfh_geoMean,TC_Tn_geoMean,B6_Tn_geoMean,log2FC_Tfh_TCvsB6,log2FC_Tn_TCvsB6,log2FC_TC_TfhvsTn,log2FC_B6_TfhvsTn,ttest_pval_B6_TfhvsB6_Tn,ttest_tscore__B6_TfhvsB6_Tn,padj_lim_ttest_tscore__B6_TfhvsB6_Tn,ttest_pval_TC_TfhvsB6_Tfh,ttest_tscore__TC_TfhvsB6_Tfh,padj_lim_ttest_tscore__TC_TfhvsB6_Tfh,ttest_pval_TC_TfhvsTC_Tn,ttest_tscore__TC_TfhvsTC_Tn,padj_lim_ttest_tscore__TC_TfhvsTC_Tn,ttest_pval_TC_TnvsB6_Tn,ttest_tscore__TC_TnvsB6_Tn,padj_lim_ttest_tscore__TC_TnvsB6_Tn,ftest_pval,ftest_fscore,padj_lim_ftest_fscore
inositol-4-monophosphate,MID_56,C03546,8.896297261,8.427035766,8.626957771,8.226163369,0.469261495,0.400794402,0.26933949,0.200872397,0.753603707,0.319335346,0.979256638,0.491536438,0.706388088,0.762070843,0.730344228,0.352818473,0.942653596,0.586947067,0.55606089,0.814389055,0.797006365,0.339358348,0.893613197
inosine-5'-monophosphate,MID_57,C00130,6.548957622,6.931371044,6.659312731,8.190224256,-0.382413422,-1.530911525,-0.110355109,-1.258853212,0.015331382,-2.713827264,0.130906414,0.336127799,-0.996056564,0.62680083,0.773138776,-0.294861476,0.95752897,0.007488388,-3.122608309,0.277070373,0.002143326,6.279334504,0.016993513
inosine,MID_58,C00294,11.55029667,9.623678362,6.914320736,7.16738831,1.926618309,-0.253067574,4.635975936,2.456290052,1.48E-06,7.409519762,8.20E-05,0.000381826,4.64061244,0.021191322,2.12E-08,12.91894408,2.35E-06,0.352661286,-0.961403368,0.764977885,1.54E-13,75.59104846,1.71E-11
hypoxanthine,MID_59,C00262,11.69066118,10.42913865,8.89992882,9.338029669,1.261522533,-0.438100849,2.790732359,1.091108977,0.062508702,2.002237637,0.295884019,0.024571324,2.518512044,0.209801301,0.000170391,5.361513205,0.003412798,0.467067085,-0.747611625,0.773482419,0.000151253,9.672415444,0.00186278
hydroxycarbamate ,MID_60,hydroxycarbamate ,10.76306783,10.80780235,10.87008246,11.17953841,-0.044734522,-0.309455949,-0.107014626,-0.371736053,0.201732885,-1.331350266,0.62200973,0.884343011,-0.148142286,0.962373277,0.773615906,-0.294221639,0.95752897,0.369628074,-0.927008675,0.764977885,0.526301104,0.759485574,0.716201383
guanosine,MID_61,C00387,8.311351488,6.51917176,5.985972465,5.95887874,1.792179728,0.027093724,2.325379023,0.56029302,0.167254063,1.446822418,0.56258185,0.002912797,3.597517174,0.055748973,0.000380707,4.876594445,0.006036926,0.939004862,0.077906608,0.95469629,2.56E-05,12.31798548,0.000405943
glycine,MID_62,C00037,13.43241483,12.6254259,13.45283297,13.08633571,0.806988925,0.366497262,-0.020418144,-0.460909808,0.096649171,-1.76494549,0.397335481,0.00203529,3.778536226,0.055748973,0.923648379,-0.097873714,0.975291111,0.20670435,1.324031244,0.764977885,0.006197457,5.081488124,0.034395886
glycerol-alpha-phosphate,MID_63,C00623,12.23078067,11.51949752,11.54848626,11.34144787,0.711283144,0.207038391,0.682294407,0.178049653,0.592047594,0.546820123,0.958995267,0.069335192,1.966920306,0.265386423,0.034518455,2.383873062,0.197003052,0.447315648,0.78186578,0.764977885,0.052886299,2.892750813,0.163066089
glycerol,MID_64,C00116,14.34349544,14.91602959,15.12675878,15.05904791,-0.572534143,0.067710867,-0.783263333,-0.143018322,0.756072366,-0.316020117,0.979256638,0.280346451,-1.122953085,0.611362159,0.208772854,-1.328348798,0.484767117,0.898635297,0.129717421,0.952426245,0.467452233,0.871668992,0.704337912
glyceric acid,MID_65,C00258,9.143338584,9.364558447,8.463376952,8.182218772,-0.221219863,0.281158179,0.679961633,1.182339675,0.006274586,3.14393129,0.077386566,0.534397367,-0.637009252,0.789534513,0.120513697,1.671306053,0.36154109,0.529591566,0.644625494,0.773482419,0.012767666,4.311820941,0.054508113
