,padj_TCTnvsB6Tn,padj_TCTfhvsB6Tfh,padj_B6TfhvsB6Tn,padj_TCTfhvsTCTn,log2FoldChange_TCTnvsB6Tn,log2FoldChange_TCTfhvsB6Tfh,log2FoldChange_B6TfhvsB6Tn,log2FoldChange_TCTfhvsTCTn
Mctp1,0.000223088,1.94e-20,1.9499999999999999e-56,1.31e-10,-3.6076662919999998,-2.578959967,4.843279385,5.871978486000001
Als2,0.8754564840000001,0.950629464,0.000142251,0.002378169,0.0,0.0,0.397652335,0.37881288799999996
Selenon,,,,,0.0,0.0,0.0,0.0
Mcl1,0.017637023999999998,1.54e-08,8.880000000000001e-13,1.67e-20,-0.175051255,-0.39399649299999995,-0.43760118299999995,-0.656546387
Dgkk,,,,,0.0,0.0,0.0,0.0
Aif1,0.798778102,0.321253595,0.002415252,0.27943181,0.0,0.0,2.004655239,0.0
Gpx4,8.19e-07,4.15e-07,0.004634483,0.028404177000000003,-0.468678227,-0.47900051200000004,0.244698074,0.23437582699999998
Plk3,1.36e-07,1.73e-05,5.619999999999999e-91,2.8299999999999997e-62,0.708054745,0.545294719,2.31346519,2.150705217
Pdk1,1.34e-21,8.07e-06,3.9599999999999987e-230,1.0199999999999998e-118,-0.900942881,-0.465621006,-2.7739620080000003,-2.3386400590000003
Mapt,0.727522955,0.20320888899999998,0.727662226,0.051086223,0.0,0.0,0.0,0.0
Tpo,,,,,0.0,0.0,0.0,0.0
Cyp11a1,0.785537365,0.613613383,0.15293593,0.18169918699999998,0.0,0.0,0.0,0.0
Sin3a,0.7515707629999999,0.8816182220000001,0.009587766,0.004317917,0.0,0.0,-0.13058064,-0.16805387600000002
Fut8,0.019491397,0.974735056,3.89e-53,1.15e-26,0.207145833,0.0,1.054660606,0.85156071
Chrna4,,,,,0.0,0.0,0.0,0.0
Pde8a,0.0008378760000000001,0.162149936,0.002424911,0.442693851,0.475840802,0.0,0.388559145,0.0
Mmp2,,,,,0.0,0.0,0.0,0.0
Ccr7,0.00043982300000000005,5.78e-10,6.739999999999996e-214,5.969999999999997e-190,-0.393211976,-0.7026584109999999,-2.985973282,-3.2954196039999997
Eif2s1,4.14e-06,0.011018541000000001,9.42e-18,8.36e-08,-0.307198349,-0.18743488600000002,-0.503069138,-0.383305651
Upk3bl,,,,,0.0,0.0,0.0,0.0
Atp7a,0.039282224,0.022640782,3.5499999999999996e-05,0.001157743,0.294349127,0.33624051899999996,-0.506067591,-0.46417611200000003
Txnrd2,0.156373255,0.9273177659999999,5.83e-18,1.65e-19,0.0,0.0,0.69756721,0.8725849290000001
Ppp2cb,0.000945267,0.000357279,0.975588482,0.867029365,-0.263211615,-0.28465226600000004,0.0,0.0
Slc25a24,0.48195186799999995,0.8227487090000001,1.8099999999999994e-126,2.8699999999999995e-83,0.0,0.0,1.839040525,1.72445399
Aifm2,0.7407618690000001,0.010640586,1.45e-19,3.25e-15,0.0,0.712223725,5.803562891,7.056149700000001
Lancl1,0.036275942,0.18212494199999998,0.009657101999999999,0.004190393,-0.16783901,0.0,0.17387692300000002,0.229517895
Xrcc1,0.00145543,0.000764237,0.509094914,0.7067568940000001,0.21003491300000002,0.222886353,0.0,0.0
Rbpms,0.8870625990000001,0.441700769,0.00962561,0.000974316,0.0,0.0,1.2853600920000001,1.8951147609999999
Tlr6,0.281220247,0.622799698,0.028093682000000002,0.241189425,0.0,0.0,-0.293965395,0.0
Xpa,0.006540855,0.005703408,0.30330122800000003,0.434071311,0.27101544,0.279998173,0.0,0.0
Trp53,0.68361769,0.9818324559999999,0.0007227269999999999,0.021262918999999998,0.0,0.0,-0.156556011,-0.129753681
Psmb5,1.13e-10,1.19e-09,0.28333942,0.55599111,-0.74292225,-0.7161911740000001,0.0,0.0
Prkcd,2.82e-07,0.00018172700000000002,6.7e-12,5.39e-06,0.371264365,0.272152597,0.439721421,0.34060968
Tlr4,0.10766701099999999,7.37e-05,1.7200000000000001e-28,5.829999999999999e-39,0.0,0.763229556,6.390805836,5.798963825
Apoe,0.0038509729999999997,0.894998269,9.65e-13,0.003929849,1.167674259,0.0,2.4326835819999997,1.188252745
Alox5,,,,,0.0,0.0,0.0,0.0
Nme5,,,,,0.0,0.0,0.0,0.0
Gpr37l1,,,,,0.0,0.0,0.0,0.0
Nr4a2,0.012559711999999999,5.47e-08,3.7999999999999996e-16,1.3e-22,0.988763573,1.7605610230000002,2.599862313,3.3716598889999996
Oser1,0.82646861,0.60946027,0.206611533,0.477861383,0.0,0.0,0.0,0.0
Arnt,0.000114399,1.5399999999999998e-05,0.502483461,0.33467898,0.26300385800000003,0.293648195,0.0,0.0
