gene_name,B6-1-Tn,B6-2-Tn,B6-3-Tn,B6-4-Tn,TC1-Tn,TC2-Tn,TC4-Tn
Stard3nl,330,333,268,309,339,256,291
Stard4,778,720,674,703,711,683,686
Stard5,410,391,405,463,513,444,436
Stard6,9,8,12,5,6,11,7
Stard7,2263,2072,2138,2050,2075,1737,1982
Stard8,7,10,6,7,6,4,6
Stard9,18,20,17,14,21,22,16
Stat1,4731,4492,4733,4572,3319,2425,3588
Stat2,1793,1655,1583,1913,1902,1737,2011
Stat3,7763,7846,8066,8193,7965,6258,7036
Stat4,1370,1179,1194,1237,1152,919,1200
Stat5a,2284,1950,1958,1945,1944,1706,1886
Stat5b,6511,5913,5552,5635,5884,4906,5754
Stat6,6585,6425,6732,6893,7691,6756,7163
Stau1,1369,1264,1347,1363,1522,1399,1536
Stau2,10,15,8,12,13,21,13
Stbd1,1,1,0,0,0,2,0
Stc1,0,0,0,0,0,0,0
Stc2,1,0,0,1,8,4,11
Steap1,0,0,0,0,0,0,0
Steap2,0,0,0,1,0,0,0
Steap3,15,12,16,17,22,24,19
Steap4,0,0,0,0,0,0,0
Stfa2,0,0,0,0,0,0,0
Stfa3,0,0,0,0,0,0,0
Stil,6,4,7,4,3,2,3
Stim1,3337,2986,3212,3212,3471,2913,2916
Stim2,1312,1415,1321,1385,1239,1045,1156
Stip1,2255,2724,2646,3592,3227,3344,2612
Stk10,11468,9989,9862,10196,11050,9905,11040
Stk11,2040,2017,2108,2184,2933,2683,2995
Stk11ip,1078,920,852,788,1073,902,1144
Stk16,1253,1225,1183,1247,1243,1111,1279
Stk17b,13780,13061,12531,12641,12328,11248,11440
Stk19,304,324,325,328,459,386,496
Stk19-ps1,0,0,0,0,0,0,0
Stk24,4445,4073,3950,4155,3932,3344,3529
Stk25,2116,2205,2145,2506,3294,3043,3346
Stk26,3186,2990,2765,2963,2765,2379,2519
Stk3,110,100,88,100,90,67,93
Stk31,0,0,0,0,0,0,0
Stk32a,0,0,0,0,0,0,0
Stk32b,0,0,1,0,0,0,0
Stk32c,0,2,1,2,2,0,1
Stk35,267,300,309,353,476,420,466
Stk36,0,1,1,0,0,0,0
Stk38,8964,7145,7656,7797,9065,8883,9893
Stk38l,239,264,247,274,244,256,281
Stk39,465,457,398,461,332,302,359
Stk4,16089,14213,13560,14460,12603,11141,12687
Stk40,1451,1231,1350,1398,1196,1078,1075
Stkld1,3,4,8,4,7,6,5
Stmn1,198,202,180,175,140,108,130
