"","II_SC_1_Tcells","II_SC_2_Tcells","II_SC_3_Tcells","II_SC_4_Tcells","II_SC_6_Tfhcells","II_SC_7_Tfhcells","II_SC_8_Tfhcells","II_SC_9_Th1cells","II_SC_10_Th1cells","II_SC_11_Th1cells","II_SC_12_Th1cells","II_SC_13_Th17cells","II_SC_14_Th17cells","II_SC_15_Th17cells","II_SC_16_Th17cells"
"pentadecanoate",0.16443579308475,-0.696316540073802,1.25926542256809,-1.11872578917414,-0.987164244528594,-0.203937747362107,0.607898192340316,-1.17572654865823,1.65569742244749,1.7221757796932,-1.21370326866357,-0.122206382953733,0.687664873602856,-0.136533530796271,-0.442823431526323
"palmitoleate",0.420053779146852,-0.343912135327258,0.166391452954524,0.059442253634974,0.0317349931763242,-0.0892730135130742,-0.969191015551922,-1.41036003846305,-0.601414306174838,-1.02584035911841,-1.51942876916399,1.47739745332345,1.20161813463911,1.29433379235357,1.3084477780837
"palmitate",-0.183617897190222,-1.06449359198059,1.34173121939778,-1.05604354411308,-1.48916019717581,0.343550531861455,-0.104726684398488,-1.22896542269489,0.830496820174661,1.65085500283692,-0.967976698645182,-0.126159657176296,1.11766064813446,0.51724753726606,0.41960193370324
"omega hydroxy hexadecanoate (n-C16:0)",0.194606172781241,-1.10412869305066,-0.559307815945582,-1.64731095224416,-0.553328681438632,-0.402858425245452,-0.331975017537993,-0.706286377577706,0.186855609185599,-0.0686422679189511,-0.695366958163317,1.53483398328655,1.39408573672604,1.45407042754517,1.30475325959782
"11'-Carboxy-alpha-chromanol",1.12313187046113,-0.913964030747011,1.8479746732262,-0.874206177238424,-0.742435776106231,0.363747640039898,1.1701799762098,-1.04200709021574,1.03562079136559,0.959422194967913,-0.437630818705212,-0.996276555767135,0.101624959721728,-0.546936120053901,-1.04824553715861
"Hexadecanedioic acid",1.22503842174554,-0.347248361208387,0.509582565177828,-0.983761700072722,-0.348330752636913,-0.0974862699441189,1.60650736050771,0.0664964441027005,1.71722072901867,0.0604515325244341,0.0579120243788844,-0.00447745088811531,-0.197606700251575,-1.39511672413232,-1.86918111832161
"margarate",0.117433954564198,-0.109486312932277,1.19341402780707,-0.795412261482131,-1.26622902901737,0.0468083751377016,-0.0489091757509093,-1.46617708063816,0.920324420505029,2.14109891859115,-1.33181333437118,-0.319975090276265,0.922961588935622,0.0126655828967011,-0.0167045839691
"stearate",-0.358865119566661,-0.502917828540744,0.965295369254622,-0.383235983743259,-1.69311699308284,0.788869009471671,-0.0875249757087973,-1.16977276015422,-0.940084907853919,1.90938091178098,-0.607126821204337,-0.543555556525944,1.2162627982754,0.623134681729666,0.783258175868351
"8,11,14-Eicosatrienoic acid (DGLA)",0.98113643001985,0.766178880393951,0.576633924784746,0.585010639156887,1.35511834638735,1.1297928837194,0.191629470572041,-0.586492101219574,-1.99987718099172,-1.69424072168679,-0.946741650391469,0.150378251384797,-0.689956016377943,0.109862734531362,0.0715661097170789
"Eicosenoic acid",0.319778956590147,0.377378017374829,0.461305451386219,0.0781535638378388,1.33709281262857,1.04399902181654,0.473604390143152,-1.62305666961935,-1.60264394598547,-1.3732267248351,-1.50555967343268,0.496778777603978,0.303117808322548,0.55957226180316,0.653705952365578
