compound name,II_SC_1_Tcells,II_SC_2_Tcells,II_SC_3_Tcells,II_SC_4_Tcells,II_SC_6_Tfhcells,II_SC_7_Tfhcells,II_SC_8_Tfhcells,II_SC_9_Th1cells,II_SC_10_Th1cells,II_SC_11_Th1cells,II_SC_12_Th1cells,II_SC_13_Th17cells,II_SC_14_Th17cells,II_SC_15_Th17cells,II_SC_16_Th17cells
inosine,5329844.841,4665313.272,4216156.02,3934080.897,8728535.601,9020297.613,7915461.669,4480229.82,2313379.461,2241450.264,4764044.244,50405806.26,40829928.89,58884680.64,63893881.84
 adenosine ,1168895.805,2966064.249,14132289.59,2045557.647,2976968.46,1543198.428,12340748.17,21413088.46,330433910.5,65841504.02,17493144.26,92758462.9,263374702.1,7706750.442,125646289
2-deoxycytidine,1969564.854,2488089.393,1956966.459,2359979.679,1133450.664,1759681.671,1435020.636,1320337.593,985877.535,1285478.508,1116677.553,259915.551,252912.243,264284.844,263192.235
adenine,76122874.39,185366294.1,158576829.8,145669295.2,31479216.02,63014767.43,121007158.2,101199901.3,97986828,75481772.22,96310632.18,124225565.7,115594777.3,58292339.66,137643828
Guanine,67259838.06,65816991.53,71437382.28,52318345.77,78408680.75,105908771,101754200.6,54863927.88,44207323.01,61024150.79,38216447.12,101793332.2,104865785.5,92626408.86,107118491.7
cytosine,27338139.39,33220416.56,26463949.18,31914202.78,17979752.64,23937990.16,20450623.7,19467115.08,17039102.41,21673462.83,20190393.3,11442684.04,8858777.97,10772421.87,9862218.954
thymine/imidazol-4-ylacetate,23707926.52,23843280.67,19280517.56,20381846.2,13553907.71,13706784.03,9999288.345,8320468.14,6021748.689,6051264.453,6345177.978,2948991.462,4837122.438,2592025.131,3192269.934
(R)-carnitine,1043660334,1053093558,1022695755,1024801942,772062153.5,779382364.2,736902335.4,996853313.4,1054661946,1117322844,1107509781,642153072.9,654340445.2,678174862.6,642886295.6
O-acetylcarnitine,194618128.3,204748149.3,187055056.1,196207142.1,80359618.4,75572341.12,77788029.69,202256818.2,232608577.7,239640087.2,212479929.2,220806332.3,242773857.5,220087061.6,215289508.7
propionyl-carnitine,39295456.33,38319280.44,35718691,34637558.49,16911391.23,18947381.37,14374124.88,29379354.34,25811124.71,24933718.11,24166153.65,41569378.87,35972031.33,38850494.89,37514087
butyryl carnitine,206763854.5,212106125.2,184974724.5,189146600.5,93846324.3,105810094.7,89680780.63,96356314.85,93265577.54,94869171.89,96399826.86,21876561.77,22846306.9,23164647.7,22538043.04
3-Hydroxybutyrylcarnitine,9963946.539,10316154.99,9407045.874,9481254.885,3506148.675,3317377.863,3075634.905,5737880.031,5878031.313,5763370.605,5947202.643,5557372.035,5366402.511,5430899.823,5431376.385
succinyl carnitine,671123.46,1061078.4,1072513.809,934022.781,734531.391,780922.53,365154.813,1018704.768,571643.352,683539.428,783099.069,336253.917,488744.976,294808.029,417835.02
tiglyl carnitine,1660157.199,1924438.953,1752501.852,1993296.324,759101.469,944959.575,930948.105,1498850.613,1334140.731,1037097.453,1254315.519,1590038.277,1610934.036,1384058.337,1645002.918
3-hydroxy-isovaleryl carnitine,5292156.036,5561315.214,5011655.19,5074613.124,3468064.479,3192443.79,3224224.38,4310558.424,5100282.693,4864203.06,4802083.992,4968827.724,5065491.573,4946899.5,4733878.158
