X,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
1700028E10Rik,119.1330602,-0.374081251,0.221677052,-1.687505533,0.091506187,0.18650614
1700028I16Rik,0.288156228,0.429297022,3.688428273,0.116390232,0.907343277,NA
1700028J19Rik,7.131111214,-1.088530183,0.730385538,-1.490350133,0.136132197,0.253641484
1700028K03Rik,2.19378669,3.25100019,1.616867846,2.010677742,0.044359507,0.103790415
1700028N14Rik,1.891327987,0.815282357,1.28218041,0.635856195,0.524870156,0.675318218
1700029H14Rik,0.607147106,1.93368897,2.484350128,0.778348006,0.436363882,NA
1700029I15Rik,49.63355081,-0.283653878,0.253113935,-1.120656902,0.262433934,0.41606528
1700029J03Rik,5.088344624,-0.977433195,0.993897549,-0.983434556,0.32539361,0.484795991
1700029J07Rik,85.11435221,0.794513307,0.204346706,3.888065151,0.000101047,0.000576559
1700029M03Rik,1.216053806,4.035110778,1.840440943,2.192469578,0.028345617,NA
1700029M20Rik,4.104385606,0.446813518,1.093463128,0.408622391,0.682816796,0.797372672
1700030C10Rik,24.02236717,2.071651682,0.394505373,5.25126354,1.51E-07,1.86E-06
1700030C12Rik,0.564584336,-0.857671775,2.617074511,-0.327721573,0.743122191,NA
1700030C14Rik,0.70502538,-0.040257129,2.205593115,-0.018252292,0.985437587,NA
1700030J22Rik,8.796652754,-0.953421343,0.618916984,-1.540467247,0.123446501,0.234818478
1700030K09Rik,173.6139015,0.940750638,0.165699221,5.677459635,1.37E-08,2.22E-07
1700034H15Rik,32.722654,1.929399556,0.336543825,5.732981604,9.87E-09,1.63E-07
1700034P13Rik,1.150823841,0.601017074,1.49300049,0.402556515,0.687274505,NA
1700037C18Rik,70.01683278,-0.466149882,0.227904775,-2.045371285,0.040818268,0.097235251
1700037H04Rik,350.6872177,-0.135176169,0.104489729,-1.293679008,0.195776319,0.335423768
1700040D17Rik,2.502347233,-0.799821088,1.149170139,-0.695998844,0.486429554,0.642327662
1700040L02Rik,22.31054717,-0.838456061,0.398557501,-2.103726713,0.035402293,0.086803279
