"","B6.6","B6.7","B6.NT","TC.1","TC.5","TC.7"
"Cdk20",7.81118036941069,7.88125654053785,7.82378026757855,7.82903901945556,7.87431006826314,7.80473826540097
"Hiatl1",11.8822827613214,12.1712253292654,12.2801755982492,12.0002082765163,11.9449937691712,11.8516257759019
"Zfp369",5.89236876863443,5.93459379295288,5.82315590282893,5.81979785869014,5.89364407315115,5.83878016770455
"Uqcrb",11.4686822283788,12.0451655720963,11.9850550779513,12.0199395823802,11.807289618276,11.895503042336
"Gm10767",4.85916738300789,4.89035726981633,4.85937163675856,4.86187193779002,4.87278150260481,4.90077993513524
"Mterf3",10.7649546730231,11.1114933195591,11.0934031616545,11.1346561533199,11.0273900385269,11.2251472079424
"Ptdss1",11.8999464133551,12.0637054500338,11.8773714781048,11.4021580536002,11.8801086707644,11.8779790506278
"4933433G19Rik",4.71559444728382,4.73194016492308,4.73421383729527,4.72492860785262,4.71242691987836,4.74728125229474
"Zfp712",8.76110875428853,8.70586521000158,8.62473099341594,8.64978115207154,8.61840275266975,8.71442252763995
"Zfp708",7.53739035680239,7.64524880197524,7.51587105668053,7.52812374580128,7.49390339013098,7.58413728349471
"Rslcan18",5.4687985159651,5.53921378770905,5.55076796339093,5.48344888588538,5.50854799374207,5.48459851890906
"Zfp759",6.58874883404033,6.35584057382544,6.35564447957785,6.48760738574576,6.4104702670523,6.37415831925421
"Rsl1",8.88001185606921,8.93957146883621,9.1174389564398,9.19383698036795,9.12076612492447,8.96420574825421
"Zfp455",5.85033167872311,5.85168809924728,5.86494045859142,6.04595299144724,5.93911296970318,5.85577315391341
"Zfp458",3.18494574247271,3.17912458699489,3.18401487962299,3.1781918267198,3.17896746707761,3.20848652917541
"Zfp595",7.12995139192422,7.08296032040549,6.98757100038106,6.99597397979683,7.10903181873873,7.3014235425738
"Zfp953",6.5922286169088,6.64428038874268,6.73064438898113,6.67408118606541,6.70145360586815,6.69212446040364
"Zfp456",7.58474394946657,7.36186517661997,7.69588316724867,7.48710401245822,7.47850161679673,7.44748351287994
"Zfp429",9.38594329825739,9.25833568034174,9.40764819061774,9.52431038524939,9.41939581150411,9.3234274241416
"Zfp459",6.39185444336684,6.58111652949227,6.50505320806939,6.39224560994448,6.4331811616914,6.4775043703814
"Zfp874a",8.28077169867321,8.54524323555412,8.27143048785605,8.14362604295252,8.46122505257403,8.40832566413897
"Zfp874b",9.0706253197296,8.8767503120294,9.00830990002674,8.82706061116672,8.94033808313774,9.01268209835363
"Zfp58",9.37121273610579,9.5950598949435,9.83079724975908,9.71984331485512,9.72108529727934,9.7020142119845
"Zfp87",10.6507650491523,10.9162197546686,10.8901550803218,11.1529989727844,10.8362952230665,11.1250536485007
"Zfp748",9.67640316743689,9.72861321823293,9.1541134699565,9.47825287750333,9.76638912946012,9.52592902105107
"9430065F17Rik",4.0245357958349,4.06631534044341,4.0387094536692,4.03977994919483,4.02851947752765,4.03015383715111
"Zfp729b",7.7803875413337,8.17579990131162,7.9855182901068,8.01946513318438,7.97296184521816,7.97407086621933
"Zfp729a",6.8947569045732,7.0693648566278,6.90346557720736,7.05460281265555,7.05450924661135,7.00562213594228
"Zfp738",8.20315646164889,8.36294964641527,8.70166833020168,8.45369593283015,8.36766614570295,8.55669619639801
"Zfp65",7.19484289027748,7.19376663000971,7.28917542289295,7.15900540650816,7.21863582063239,7.21828482583873
"Zfp85os",4.89300287934916,4.85387398113957,4.85468787588948,4.88577823661251,4.87490752919227,4.90441487041717
"Zfp85",7.90472668258056,8.07453433862162,8.24367731385481,8.00498117228261,8.04476699493136,7.98684679107497
"Zfp493",5.60691822393073,5.60715419626946,5.73750661164383,5.71420415316712,5.60708255102161,5.61393979810686
"Zfp273",7.50663256993007,7.64273407601547,7.66530092902041,7.64782693483504,7.42953886691261,7.51141679587353
"BC048507",0.964671452339358,0.963775253990789,0.967094546592709,0.966455760069778,0.965335984481345,0.964876781850642
"Mtrr",10.1486058794225,10.1428193687595,10.5854916849394,10.2356121171851,10.397565683423,10.1684425250238
"Fastkd3",9.96200055394181,10.0329960949382,9.55295044280071,9.82440157640037,10.0516000921808,9.95449852226437
"1700001L19Rik",3.07710842276703,3.10183132737004,3.0771400492283,3.09402502418044,3.0771359141612,3.07716230355446
"Papd7",9.38367755467543,9.25185876716374,9.10804236551732,9.07515416812745,9.19761402566049,9.1063750545225
